TicketOfficeID,TicketOffice_Name,TicketOffice_Phone
1,Winona,507-452-8612
2,Fraser,000-000-0000
3,Wittenberg,800-872-7249
4,Wilson,252-246-1060
5,Winslow,000-000-0000
6,Westerly,401-596-2355
7,Williams,800-872-7249
8,Williams Junction,000-000-0000
9,Windsor,000-000-0000
10,Walloon Lake,800-231-2222
11,Windsor Locks,000-000-0000
12,Windsor,000-000-0000
13,Winnemucca,000-000-0000
14,Walnut Ridge,000-000-0000
15,Winston-Salem,336-883-7278
16,Warrenton,000-000-0000
17,Woburn,800-872-7249
18,Worcester,508-755-5677
19,West Palm Beach,561-832-6169
20,Winter Park,407-645-5055
21,Waupun,800-872-7249
22,Wolf Point,406-653-2350
23,White River Junction,802-295-7160
24,Rio Vista Junction,800-872-7249
25,Westbrook,203-777-7433
26,Westfield,800-872-7249
27,Wausau,800-872-7249
28,Whistler Village,604-932-5031
29,Westport,800-872-7249
30,White Sulphur Springs,000-000-0000
31,Wiscasset,207-882-5544
32,Rothschild,414-282-3566
33,Winter Haven,863-294-9203
34,Waterloo,000-000-0000
35,Williston,701-572-7171
36,Willits,000-000-0000
37,Walla Walla,800-872-7249
38,Wildwood,000-000-0000
39,Yazoo City,000-000-0000
40,Yemassee,000-000-0000
41,Yonkers,914-965-8500
42,Yosemite National Park,800-872-7249
43,Yosemite National Park,800-872-7249
44,Yosemite National Park,800-872-7249
45,Yosemite National Park,000-000-0000
46,Yosemite National Park,800-872-7249
47,Yosemite National Park,800-872-7249
48,Yosemite National Park,800-872-7249
49,Yuma,800-872-7249
50,Vallejo,800-872-7249
